date,Metro Red Line,Metro Green Line,Tram,Bus,Marine,E-Hail,Car-Share,Bus on Demand,Taxi,Metro
4/26/2025,486887,257411,26874,406878,60687,222747,1732,2285,618760,744298
4/27/2025,392753,202137,23222,371337,57692,189911,1687,1694,592160,594890
4/28/2025,590533,281629,28422,492355,45363,273417,1654,2822,584358,872162
4/29/2025,598846,278675,29754,483209,43383,304741,1539,2805,587354,877521
4/30/2025,599348,280928,29548,485299,45201,317907,1437,2943,602609,880276
5/1/2025,597140,278647,30339,484991,46238,326938,1556,2939,596281,875787
5/2/2025,581599,278109,30877,462573,48317,315701,1503,2917,651593,859708
5/3/2025,503730,266782,27239,419546,57375,248365,1609,2364,637439,770512
5/4/2025,411894,216704,22748,392291,57460,194294,1259,1825,597958,628598
5/5/2025,582082,284865,28417,498714,45692,235741,1440,2966,588658,866947
5/6/2025,579972,280389,28732,487501,43487,242586,1461,3015,591435,860361
5/7/2025,578966,277216,28794,484952,43791,240587,1519,2944,593975,856182
5/8/2025,576329,277534,28774,482144,43386,249280,1321,2982,600848,853863
5/9/2025,568934,275260,29576,457901,47521,233140,1493,2979,641039,844194
5/10/2025,491618,260009,26062,416622,54574,198461,1561,2406,617982,751627
5/11/2025,400399,212345,22076,391256,54880,159459,1610,1761,572792,612744
